singer_id,singer_name,singer_bio,date_of_birth
1,Chị Ngọc Lê,"Bạn được với có thì. Có tự như bên với tại đang. Có đúng của điều của.
Nơi người hơn giống. Nếu thì để nhiều của. Nếu cái dưới từ hoặc như giống.",1968-09-08
2,Bác Trung Vũ,"Nhiều từ không này.
Người với mỗi nếu như nào. Giống vài để số chỉ. Khi nơi này tôi với cũng.",1996-07-12
3,Bác Trọng Vũ,"Nhưng tôi thì như số. Của sau có đi từng.
Đó giữa giống lớn chưa. Lớn vậy như cũng với cái.
Có làm thay thay trong trong là. Bên đó có bạn.",2007-11-06
4,Quý cô Bảo Trần,"Từ thế đang điều. Vài được các được này các. Theo sẽ một để thay.
Để nhưng của thay từ. Có thay để nhiều sau có với. Sau của của.",1972-05-15
5,Phương Hoàng,"Mà như trong đang như. Các hơn tôi dưới và tự bên. Nhiều chỉ của được đúng.
Đó trong giữa đó. Cũng giữa chỉ về đi đi. Trong mỗi sau nào.",1995-08-09
6,Anh Mai,"Thay cũng không. Sẽ đang như khi mà có tại.
Và gần cách tại của.
Nhiều sẽ từ sẽ với các. Giữa đi lớn vậy về điều. Người vẫn tự đó của giống với.",2002-09-22
7,Trung Mai,"Như như nhiều như tôi của có. Các nhiều là là mỗi từng hoặc.
Trong bên như nếu. Gần đến có đang để số gần và. Cũng để chỉ số bạn hơn nhưng.",1995-09-06
8,Lâm Vũ,Như vẫn nơi khi các giống đến đang. Với nhiều nhưng được cách với có. Một theo vẫn chỉ như có điều.,2001-04-30
9,Quý cô Hạnh Bùi,"Nếu để như với. Có với hơn thế. Vậy làm mỗi vẫn từ.
Này một vì để. Không hoặc tôi.
Gần này vẫn nơi chỉ từ. Vẫn có làm vì.",1967-05-12
10,Thảo Phạm,"Thì cũng làm. Điều để là chưa sẽ như cũng. Sẽ nhưng số giống gần người cũng.
Với gần có vì chỉ vài. Như lớn vài như như cái. Bên khiến có.",1974-04-05
11,Chi Bùi,"Đang nhưng không. Từ mà và đã. Về đang nhưng để từ.
Được vậy cách thì. Đã bên của như điều mà bên. Các gần tự nhiều.",1998-01-14
12,Lâm Trần,"Hơn thì để hoặc.
Bên vậy thì. Vì một giữa. Cách không sau.
Nào vì tại như nơi các tại. Có để đi các giữa được khi.",1980-03-17
13,Dũng Quang Đặng,"Theo nào của về đi bạn. Chưa đi đến khiến. Theo hơn cũng vài. Đang vậy là vậy nhưng lớn từng thì.
Cũng vài vẫn. Nơi các gần vậy sau như như.",1971-07-04
14,Tú Bảo Bùi,"Trong chưa vì cái cũng đã từng. Để cái hoặc như gần với người.
Từ như chưa rất giống. Chưa khiến vài một thay người.",2006-07-15
15,Bà Bảo Bùi,"Cách có này như như. Tôi như thế vài với như.
Với đó bên nhiều chỉ của thì bên. Vài để hoặc rất. Rất giữa nhưng khiến làm.",1972-08-05
16,Quang Hữu Đặng,"Thay khiến đúng đi. Như đã trong số là vậy. Hoặc đó đã nếu thì tại.
Lớn cái lớn và. Đúng rất để từng đã.",1983-10-20
17,Quý ông Huy Mai,"Và khiến các sẽ được.
Sẽ không của. Mà để số cũng về.
Giống mỗi của. Mà của thì để. Có vẫn tự vài đúng của.",1978-03-22
18,Bà Dương Đặng,"Lớn vì như hơn sẽ được. Từ cũng đó.
Vẫn dưới cách tại dưới. Các là gần nếu số. Của số đi. Mà từng tại lớn như.",1992-02-06
19,Khoa Văn Đặng,"Cho vì như dưới nếu của được. Có như và vài là để. Một nào tự với.
Cái của sẽ nếu đang có một được. Từng cũng từ như của gần. Đi có cho.",1983-03-23
20,Quý cô Thảo Bùi,"Lớn này để về chưa khi giữa. Từ như đã đến đó cách.
Nơi chưa này từng. Tôi người như về giữa một cũng để.",1992-01-31
21,Bà Yến Lê,"Khiến có thay tại. Này đi như đến vì. Từ tôi như làm cho nơi.
Đó nơi chỉ một. Đến cũng đang nơi của của.
Là đến với điều mỗi.",1972-09-06
22,Vân Hoàng,"Trong tự nhưng cho từ từ. Làm từ hoặc bên bên.
Được như giữa nhiều. Nơi làm của.",1995-02-08
23,Quý cô Thành Mai,"Đang chưa được để cũng mỗi người. Thay hơn bạn bên đi.
Rất cách của khiến tại. Vì mà sẽ của thay. Chưa tại đến như dưới cho.",1976-08-16
24,Ánh Hoàng,"Thay lớn nào như của để. Dưới điều nhiều tại về.
Tại dưới đang đó nếu trong rất. Với nào cách đã điều.",1975-01-26
25,Thành Phạm,"Để cái thay để các người. Đang này như lớn nhiều.
Từ của là vì một đó nhiều. Như gần về sau vậy bạn.
Tại cũng để số với của để. Đến gần cũng người.",1997-07-25
26,Vi Trần,"Đi có theo. Để gần cách từ đến.
Khi lớn thì thì theo mà mà. Theo đó trong đang thì.
Như tại điều đang lớn nào. Khi giữa chưa vì làm.",1987-10-14
27,Trung Lê,"Này vẫn chỉ số tôi. Từ điều nơi từng bạn. Gần từ trong là cái.
Cho và các không nhưng cũng hơn.
Và tại như tôi. Tôi của nếu cái có.",1967-09-18
28,Trung Xuân Trần,"Lớn của hơn hoặc nơi từ hơn. Rất vài nào của vậy. Đi để cách như để.
Từ hoặc tôi và cách. Vậy trong gần sau tại.",1988-12-23
29,An Dương,"Sẽ đi chưa số của cũng thì. Khi như điều.
Cho trong cách nhưng nhiều giống cho. Tự vậy tại người. Cho cho về nhưng tự. Mà đi một một như cũng.",2004-09-07
