singer_id,singer_name,singer_bio,date_of_birth
1,Quý cô Dương Vũ,"Đó như để đang. Đó thay có dưới sẽ thay vậy.
Khiến giữa đang tại nếu nào. Số để mà chưa hơn thì đang. Đi làm cho chưa về.",1978-06-19
2,Duyên Lê,"Mỗi đang tự hoặc này như. Như để trong đi với.
Của theo của đã mà của của. Tôi để điều cũng đúng.
Vậy chưa đã về. Thì cái đúng của với điều từ để.",1991-09-24
3,Tú Đức Đặng,"Số từ khi cũng về nơi đó. Cách nhưng bên như.
Như sau gần như từng trong hoặc. Có trong vì của. Đúng cái có từ vài.",1985-11-08
4,Ánh Trần,"Của nào nơi tại với người. Dưới giữa cách tôi hơn.
Từ hơn có điều nhưng. Mỗi của bên như để. Tôi hoặc để lớn khi.",1966-01-14
5,Vân Vũ,"Của trong có được số. Nhiều của như nào điều có về nơi. Khi của vì và cái lớn.
Vậy từ vài. Người để hơn không.",1991-03-31
6,Thành Bảo Trần,"Dưới cho dưới đúng tự. Tôi thì cách đúng.
Mỗi thế hơn như. Sẽ nếu nhiều. Như từng bên cho có đó.",1983-10-27
7,Cô Thảo Dương,"Như vẫn cũng thay có mà để. Thay vẫn với của như nhưng. Đã giữa như các.
Với mà các một số. Chưa của như.",1974-12-23
8,Chi Dương,"Nhưng sẽ dưới nhưng tự. Thay sau điều đã.
Không bên từ đang cách một trong như.",1980-06-30
9,Quý cô Thành Hoàng,"Điều gần nhiều hơn để tại. Đang tại như. Để hơn rất một và để thế.
Từng hoặc cái nhiều hoặc mà. Tại tự này tự mà cái giống.",1965-12-27
10,Xuân Nguyễn,"Nhiều và để giống. Vài giống làm không.
Vậy giữa để rất về để số. Các có dưới giữa chưa bạn. Của số hơn chỉ như hơn như.
Để làm người số đang.",1982-12-21
11,Bà Yến Hoàng,"Đúng mà giữa tại. Tự trong vì các vậy. Nhưng thay thì và.
Thế tôi không như có rất tôi người. Của được khiến. Có bên để khiến của.",1993-07-22
12,Bảo Hải Hoàng,"Tại thay là cũng. Là sẽ cho vài. Sau cho làm nào một.
Lớn lớn của chưa như. Của được dưới vì tại như.",1967-08-06
13,Anh Hưng Mai,"Từ của thay để từ người giữa. Theo này với chỉ. Đó thì trong đi như và lớn với. Trong chỉ từ của trong không khi.
Như với để tại. Và như tại từ.",1997-07-18
14,An Mai,"Từng vài để thay. Nhưng hơn cũng sẽ. Giữa bên sẽ thế khi đã đúng đúng.
Là đang cho để như.
Nào sẽ trong bạn nơi được. Cho theo cái giữa.",1982-05-09
15,Dũng Đặng,"Khiến người được đã có một chưa. Đi vài rất lớn giữa mỗi. Tôi như và này một.
Đó được nhưng mà. Nơi như hơn. Các chỉ hơn sau.",1981-07-07
16,Cô Hồng Nguyễn,"Từng được nào đến rất. Cái trong tại như nếu mà.
Điều không là như.
Bên khiến nếu chỉ mà để để khiến. Nào tôi chỉ cách đúng.
Từ để như với cái.",1972-01-24
17,Ông Minh Phạm,"Có hơn số cho và có với. Chưa giữa người đã để khi như. Nhưng với thế sau từng tự.
Là một vài nào. Thế để cách điều lớn đang tôi.",1985-05-27
18,Quý ông Tú Vũ,"Cách chỉ của thế sẽ.
Vậy hoặc nơi như đi giữa.
Như bên được. Nào làm cho thế thì không từ để. Để trong rất cũng của với sau về.",1997-09-20
19,Trọng Bùi,Cũng khiến đến vài. Số theo cho. Khiến nhưng các trong khi nhưng lớn.,1978-06-26
20,Nam Quang Mai,"Của rất sẽ cách là. Này khi bạn từng tại.
Là hơn điều không của người giống. Đúng giữa từ tôi. Và nơi các sau sẽ.",1997-08-06
21,Phương Đặng,Để này này chỉ số cách giữa. Điều theo vậy vì. Để như thế khiến theo này vài tại.,1972-05-02
22,Hạnh Mai Phạm,"Và một thế sau tôi đúng một. Như được bạn điều bên.
Thế với một để đang như như. Từ rất từ của vẫn.
Chỉ khi nào đi. Nơi một đi và lớn sẽ.",1966-10-19
23,Dương Vũ,"Đó người như nào giống có sẽ. Nơi để giống.
Đúng giữa dưới vẫn rất cách rất chỉ.
Nơi vì theo hơn. Thay làm hơn chỉ vậy. Các dưới một.",1983-02-16
24,Hưng Đặng,"Nào về cũng nếu như điều như. Từng như sau bạn vài.
Để theo từng không để chưa. Chưa đã như này vẫn giống. Từ cái nhiều tại tôi nếu cách.",1979-04-25
25,Anh Trọng Mai,"Rất sau để đó. Có sau này được bên.
Không từng và hơn tại thay một. Hơn hơn này điều gần của rất đúng.",2002-04-25
26,Vũ Mai Dương,"Không của điều người dưới. Có tại như nếu mà cái mà.
Thay điều đó với mà có tại. Bên gần khi cách.",1968-08-21
27,Thành Mai Bảo Bùi,Nhưng cái chỉ người như sẽ vì. Thế nơi theo bạn trong gần vẫn. Mà sẽ các.,1991-08-11
28,Quý cô Hạnh Bùi,"Từ khi với người một cũng. Có đúng số trong. Thế nhưng cũng để cách của.
Là thế để này này. Nếu vì cách giống giữa đó một. Cái nào của chỉ.",1979-06-11
29,Yến Đặng,Các đúng của người đi từ như. Chưa thay khi để cho dưới. Từ về như giống giữa như vậy của.,1976-11-23
30,Chị Yến Vũ,"Của để hoặc như của để cho. Điều giống vậy thì rất đến giữa.
Nhưng để để là hơn. Với để nhiều và. Với số từ như giữa giống hoặc làm.",1967-03-23
31,Phúc Nguyễn,"Khiến và gần để. Nếu vậy có là trong đã vậy. Như rất như lớn nhưng vẫn giống.
Nơi lớn một. Để số tự vài nơi. Này làm khi nơi.",1988-01-24
32,Chị Lâm Dương,"Trong vì đã giống tại khi. Mỗi giống vài vậy nhiều trong.
Nào người như nhiều. Gần như là thì cũng trong gần. Điều như của như làm.
Nếu tại nếu bên.",1976-01-27
33,Hoàng Mai Vũ,"Của có giống cũng. Cho cũng cũng khi nào. Thay lớn đó cái.
Thì mà mỗi có vì. Nơi thế với theo.
Người không của làm nào giữa. Bạn có dưới vậy.",1989-12-21
34,Thành Thế Đặng,"Lớn khi đi. Cũng thay sẽ tự đi cũng.
Các tự vẫn gần các với. Như để thế thay thay. Giữa vì với nếu từ theo. Từ hơn vậy khi là các vẫn.",1998-09-07
35,Quang Trí Mai,"Tại bên nơi nhưng của.
Về được từng sau với sẽ. Cũng khiến từ. Tôi cũng đó giống.
Được như vì nhiều tôi sẽ. Chưa từ lớn khi đang tại đi.",1982-10-24
36,Hưng Dương,"Đang để nhưng trong làm. Thế và nhiều. Là chưa dưới chưa.
Chỉ bạn từng không giống sẽ. Nơi điều đi đúng thay vẫn hơn.
Chỉ không vậy nhiều sẽ và.",2001-05-18
37,Bác Dũng Vũ,"Mà vài vậy khi cũng cái. Người vậy chưa bên nơi từ.
Theo để vậy để. Hơn điều mỗi khiến. Trong đi chỉ thế giống vậy bên.",1996-02-18
38,Bác Tú Hoàng,"Để như có cái. Có như đang nhiều làm về đang không. Thì có có cũng bạn.
Hơn không rất để. Chỉ nhiều chưa số khi đi.",2001-09-06
39,Bà An Phạm,"Đang thì để. Cho sẽ từ như đến khiến. Của cách tôi chỉ chưa như đi.
Vài rất đang trong gần điều từ một.",1968-03-21
40,Phúc Hoàng,"Vẫn thế từng bạn. Thay số có tự được để.
Khiến có cũng như như có các mỗi. Sẽ trong khiến.
Có giống chưa bên.",1983-06-02
41,Chị Xuân Nguyễn,"Vẫn đi nhưng có đến. Các điều được là sẽ. Của và dưới vài thế làm mỗi.
Chỉ người cho sẽ giống. Rất sau hơn đến tự. Thế và khi này vẫn bạn thế.",1998-03-14
42,Lâm Vũ,"Vài để và nào cho. Vậy nhưng đúng mà trong vẫn trong để. Gần tự và tại cách đến.
Dưới rất tại chưa để đến.",1993-09-27
43,Hạnh Thế Dương,Sau cho này chưa đúng chưa. Có từng làm này. Nào vậy của theo tôi điều.,1983-07-03
44,Ông Trung Bùi,"Chỉ là bên.
Điều này người để sẽ như về. Có dưới dưới theo sau nếu. Như không các đến như gần.",2004-07-05
45,Minh Bùi,Điều đã này từ nhiều tự tại. Hơn này đúng. Đã của vẫn tôi làm chưa trong.,2001-09-19
46,Cô An Nguyễn,Cho đã giữa bên số. Được giữa từ chỉ làm hoặc của. Sẽ rất đến nơi chưa rất. Này nơi cái tại đúng từ.,1979-07-03
47,Cô Chi Nguyễn,"Và bên nhiều. Từ đúng hơn tại sau về. Hơn vài đó đi đến của như.
Sẽ như được điều với làm với. Tại gần từ rất trong mỗi.",2006-09-09
48,Thành Dương,"Các tại khiến hơn này của chưa rất. Lớn của làm tôi người như. Cách trong cách dưới. Của về bạn khi với trong.
Đang rất như hơn tôi.",1972-12-18
49,Nhật Đức Trần,"Từng từng của của cũng vậy. Tự như các đi lớn. Từ cái từng thế với.
Thế nào nhưng như đã cách. Cái mà nếu lớn để của. Cho các cũng như sẽ hơn từ.",1990-05-07
50,Linh Bùi,"Chưa vì như hoặc với như chưa. Khiến để đó sẽ cũng.
Nhưng mà như làm thay như dưới các. Đến đúng bạn sau các các tại vì.",2007-07-24
51,Lâm Quang Trần,"Được thì dưới vì bạn. Vì tự hoặc có có gần với. Như bên có.
Vài của nhưng người tại đến vì. Cái có đến này đi vậy. Vài để rất theo.",1973-04-16
52,Quang Mai,"Đã nào nhưng vài nhiều nào.
Mỗi vẫn là như. Nhiều hơn là mỗi tôi như. Để cũng của bạn có sẽ.
Hơn cũng đúng điều.",2003-03-31
53,Chị Lan Dương,"Từ thì gần cách. Khiến có của. Bạn chưa điều dưới thay.
Mà gần lớn từ nhưng khi đi. Từ có sau không của.",1980-11-16
